epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,460.157,0.81921,1.20396,0.97092,0.95859,0.89812,0.96143,0.78263,0.67019,1.23671,0.96804,0.00066323,0.00066323,0.00066323
2,899.31,0.81805,0.78387,0.98864,0.95766,0.95712,0.97873,0.80293,0.66358,0.6242,0.95227,0.00131673,0.00131673,0.00131673
3,1337.44,0.81387,0.68079,0.98952,0.97218,0.89185,0.96003,0.79677,0.6406,0.58908,0.9494,0.00195703,0.00195703,0.00195703
4,1788.13,0.79424,0.6041,0.98038,0.96207,0.9541,0.98044,0.8056,0.65931,0.46372,0.95221,0.0019406,0.0019406,0.0019406
5,2230.72,0.76629,0.54745,0.97042,0.95049,0.94828,0.9738,0.80795,0.62534,0.47847,0.94843,0.0019208,0.0019208,0.0019208
6,2667.2,0.74933,0.51322,0.96136,0.95233,0.95455,0.97503,0.81786,0.64142,0.41742,0.94758,0.001901,0.001901,0.001901
7,3097.63,0.7568,0.50966,0.96261,0.96536,0.9611,0.98099,0.82081,0.6249,0.39299,0.94383,0.0018812,0.0018812,0.0018812
8,3533.84,0.73111,0.48746,0.9591,0.96391,0.94828,0.98097,0.82599,0.64329,0.38141,0.9449,0.0018614,0.0018614,0.0018614
9,3978.52,0.71509,0.4636,0.95127,0.96263,0.95298,0.97675,0.82009,0.6518,0.3841,0.95351,0.0018416,0.0018416,0.0018416
10,4423.52,0.71225,0.45186,0.95206,0.97571,0.94201,0.97693,0.81594,0.65675,0.39557,0.95021,0.0018218,0.0018218,0.0018218
11,4856.3,0.72452,0.46315,0.95638,0.96318,0.96708,0.9807,0.83561,0.60068,0.35705,0.9362,0.001802,0.001802,0.001802
12,5309.72,0.71311,0.44364,0.95533,0.95631,0.96395,0.986,0.82924,0.63271,0.3673,0.94295,0.0017822,0.0017822,0.0017822
13,5753.04,0.70759,0.44724,0.9521,0.95065,0.95611,0.98152,0.80914,0.67151,0.38347,0.96211,0.0017624,0.0017624,0.0017624
14,6188.64,0.68832,0.43797,0.94309,0.95242,0.97649,0.98665,0.84227,0.58974,0.34777,0.93876,0.0017426,0.0017426,0.0017426
15,6620.1,0.70357,0.44033,0.94876,0.95465,0.95768,0.9868,0.84813,0.57346,0.34292,0.92857,0.0017228,0.0017228,0.0017228
16,7050.54,0.68383,0.41718,0.93654,0.97273,0.96238,0.97659,0.8289,0.63001,0.36677,0.94486,0.001703,0.001703,0.001703
17,7477.98,0.69443,0.42077,0.94567,0.96264,0.96082,0.98126,0.83916,0.59649,0.32924,0.9382,0.0016832,0.0016832,0.0016832
18,7905.17,0.66368,0.39827,0.94176,0.96561,0.9683,0.98457,0.8461,0.60038,0.33448,0.93477,0.0016634,0.0016634,0.0016634
19,8331.98,0.69281,0.40817,0.94479,0.95701,0.97962,0.98534,0.84448,0.58907,0.32861,0.9339,0.0016436,0.0016436,0.0016436
20,8771.07,0.68102,0.40427,0.94187,0.9659,0.97179,0.98357,0.84051,0.55862,0.33285,0.92462,0.0016238,0.0016238,0.0016238
21,9203.03,0.67518,0.39287,0.94049,0.96585,0.97522,0.98379,0.83192,0.61972,0.34707,0.94606,0.001604,0.001604,0.001604
22,9628.75,0.66996,0.39538,0.93949,0.96274,0.97806,0.98607,0.8406,0.60501,0.32411,0.93848,0.0015842,0.0015842,0.0015842
23,10054.1,0.67418,0.39258,0.94256,0.9749,0.97179,0.98342,0.83948,0.60514,0.32946,0.9341,0.0015644,0.0015644,0.0015644
24,10480.7,0.67098,0.39795,0.94059,0.97487,0.96708,0.98568,0.84722,0.59449,0.31143,0.93014,0.0015446,0.0015446,0.0015446
25,10906.2,0.67749,0.39543,0.9308,0.96573,0.97186,0.98414,0.8404,0.61822,0.34228,0.94415,0.0015248,0.0015248,0.0015248
26,11331.4,0.66443,0.3894,0.93326,0.97147,0.96552,0.98219,0.85206,0.56935,0.31526,0.92887,0.001505,0.001505,0.001505
27,11755.9,0.65058,0.37011,0.93187,0.96748,0.97492,0.98649,0.85079,0.58001,0.31862,0.93207,0.0014852,0.0014852,0.0014852
28,12182.5,0.6508,0.37421,0.92798,0.96444,0.97179,0.98642,0.84686,0.59029,0.31872,0.93198,0.0014654,0.0014654,0.0014654
29,12614.3,0.64383,0.3715,0.92606,0.97361,0.96865,0.98866,0.85584,0.57942,0.29949,0.93013,0.0014456,0.0014456,0.0014456
30,13048.8,0.63983,0.363,0.92602,0.97634,0.97012,0.9881,0.86198,0.55437,0.2979,0.91928,0.0014258,0.0014258,0.0014258
31,13486.6,0.63987,0.36293,0.92218,0.96729,0.97179,0.98401,0.84915,0.57645,0.31568,0.92973,0.001406,0.001406,0.001406
32,13918.2,0.64791,0.36431,0.92422,0.96866,0.96708,0.98826,0.86318,0.56842,0.29891,0.92813,0.0013862,0.0013862,0.0013862
33,14346.4,0.65661,0.36386,0.93416,0.94823,0.95455,0.975,0.83687,0.59747,0.37266,0.92768,0.0013664,0.0013664,0.0013664
34,14800.2,0.6297,0.36214,0.92739,0.97331,0.97181,0.98642,0.86159,0.56699,0.29473,0.92243,0.0013466,0.0013466,0.0013466
35,15240.7,0.64325,0.36061,0.92794,0.97157,0.97179,0.98916,0.86247,0.56164,0.29642,0.9203,0.0013268,0.0013268,0.0013268
36,15668,0.63494,0.34782,0.92525,0.97337,0.97405,0.98642,0.8553,0.5721,0.30148,0.93015,0.001307,0.001307,0.001307
37,16092.6,0.62285,0.33924,0.91706,0.97648,0.976,0.98936,0.85964,0.57041,0.29689,0.92287,0.0012872,0.0012872,0.0012872
38,16513.5,0.62733,0.3495,0.9198,0.97196,0.97492,0.98928,0.86125,0.57209,0.29501,0.92684,0.0012674,0.0012674,0.0012674
39,16933.6,0.61716,0.34204,0.91491,0.9707,0.96708,0.98809,0.85926,0.55532,0.29066,0.92193,0.0012476,0.0012476,0.0012476
40,17354.2,0.6303,0.34854,0.92478,0.95389,0.97277,0.98739,0.85174,0.56689,0.30597,0.92467,0.0012278,0.0012278,0.0012278
41,17774.1,0.62621,0.34501,0.9247,0.97648,0.97022,0.98795,0.85741,0.56961,0.2913,0.92754,0.001208,0.001208,0.001208
42,18196,0.61867,0.34117,0.9176,0.9778,0.96667,0.98901,0.85622,0.56225,0.28646,0.92764,0.0011882,0.0011882,0.0011882
